file,plan,scale_value,marks,line_len_px
Projet Soumission 2025\S-1305 - Litostroj Hydro Brossard\S-1305 Litostroj Hydro Brossard (7-Janvier-2025)\S-1305 Litostroj Hydro Brossard (7-Janvier-2025).qpl,03 Électrique - 8,0,0,0.0
Projet Soumission 2025\S-1305 - Litostroj Hydro Brossard\S-1305 Litostroj Hydro Brossard (7-Janvier-2025)\S-1305 Litostroj Hydro Brossard (7-Janvier-2025).qpl,03 Électrique - 9,0,0,0.0
Projet Soumission 2025\S-1305 - Litostroj Hydro Brossard\S-1305 Litostroj Hydro Brossard (7-Janvier-2025)\S-1305 Litostroj Hydro Brossard (7-Janvier-2025).qpl,03 Électrique - 10,0,0,0.0
Projet Soumission 2025\S-1305 - Litostroj Hydro Brossard\S-1305 Litostroj Hydro Brossard (7-Janvier-2025)\S-1305 Litostroj Hydro Brossard (7-Janvier-2025).qpl,03 Électrique - 11,0,0,0.0
Projet Soumission 2025\S-1310 - Clinique Cigogne\S-1310 Clinique la Cigogne (14-Janvier-2025)\S-1310 Clinique la Cigogne (14-Janvier-2025).qpl,Design (1) - 1,0,0,0.0
Projet Soumission 2025\S-1310 - Clinique Cigogne\S-1310 Clinique la Cigogne (14-Janvier-2025)\S-1310 Clinique la Cigogne (14-Janvier-2025).qpl,Design (1) - 2,0,0,0.0
Projet Soumission 2025\S-1310 - Clinique Cigogne\S-1310 Clinique la Cigogne (14-Janvier-2025)\S-1310 Clinique la Cigogne (14-Janvier-2025).qpl,Design (1) - 3,0,0,0.0
Projet Soumission 2025\S-1310 - Clinique Cigogne\S-1310 Clinique la Cigogne (14-Janvier-2025)\S-1310 Clinique la Cigogne (14-Janvier-2025).qpl,Design (1) - 4,0,0,0.0
Projet Soumission 2025\S-1310 - Clinique Cigogne\S-1310 Clinique la Cigogne (14-Janvier-2025)\S-1310 Clinique la Cigogne (14-Janvier-2025).qpl,Design (1) - 5,0,42,0.0
Projet Soumission 2025\S-1310 - Clinique Cigogne\S-1310 Clinique la Cigogne (14-Janvier-2025)\S-1310 Clinique la Cigogne (14-Janvier-2025).qpl,Design (1) - 6,0,40,0.0
Projet Soumission 2025\S-1310 - Clinique Cigogne\S-1310 Clinique la Cigogne (14-Janvier-2025)\S-1310 Clinique la Cigogne (14-Janvier-2025).qpl,Design (1) - 7,0,50,0.0
Projet Soumission 2025\S-1310 - Clinique Cigogne\S-1310 Clinique la Cigogne (14-Janvier-2025)\S-1310 Clinique la Cigogne (14-Janvier-2025).qpl,Design (1) - 8,0,0,0.0
Projet Soumission 2025\S-1310 - Clinique Cigogne\S-1310 Clinique la Cigogne (14-Janvier-2025)\S-1310 Clinique la Cigogne (14-Janvier-2025).qpl,Design (1) - 9,0,0,0.0
Projet Soumission 2025\S-1310 - Clinique Cigogne\S-1310 Clinique la Cigogne (14-Janvier-2025)\S-1310 Clinique la Cigogne (14-Janvier-2025).qpl,Design (1) - 10,0,0,0.0
Projet Soumission 2025\S-1310 - Clinique Cigogne\S-1310 Clinique la Cigogne (14-Janvier-2025)\S-1310 Clinique la Cigogne (14-Janvier-2025).qpl,Design (1) - 11,0,0,0.0
Projet Soumission 2025\S-1310 - Clinique Cigogne\S-1310 Clinique la Cigogne (14-Janvier-2025)\S-1310 Clinique la Cigogne (14-Janvier-2025).qpl,Design (1) - 12,0,0,0.0
Projet Soumission 2025\S-1311 - IGWM Boisbriand\S-1311 IGWM Boisbriand (15-Janvier-2025)\S-1311 IGWM Boisbriand (15-Janvier-2025).qpl,24248-IGWM Boisbriand-Electrical-ÉPPermis&Soumission (2025-01-09) (1) - 1,0,0,0.0
